"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2020","1","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","3509660627.56","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-05-14T01:32:09Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","2","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","4228284345.33","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-05-31T01:35:27Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","1","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","8099283571.26","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-05-14T01:32:09Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","4","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","333847273.44","45919049","Total de Despesas Intraorçamentária","2020-10-01T01:38:38Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","1","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","243295123.76","45919049","Total de Despesas Intraorçamentária","2020-05-14T01:32:09Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","4","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","4358764867.43","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-10-01T01:38:38Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","3","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","5035835761.06","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-07-31T01:37:23Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","3","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","4132991930.78","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-07-31T01:37:23Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","2","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","4817150977.73","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-05-31T01:35:27Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","2","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","356350924.35","45919049","Total de Despesas Intraorçamentária","2020-05-31T01:35:27Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","4","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","328005666.33","45919049","Total de Despesas Intraorçamentária","2020-10-01T01:38:38Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","3","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","278704467.36","45919049","Total de Despesas Intraorçamentária","2020-07-31T01:37:23Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","3","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","290190165.95","45919049","Total de Despesas Intraorçamentária","2020-07-31T01:37:23Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","1","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","289767916.9","45919049","Total de Despesas Intraorçamentária","2020-05-14T01:32:09Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","2","B","E","E","35","São Paulo","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","357029381.41","45919049","Total de Despesas Intraorçamentária","2020-05-31T01:35:27Z","##------ Mon Nov 16 19:13:46 2020 ------##"
"2020","4","B","E","E","35","São Paulo","SP","DESPESAS EMPENHADAS NO BIMESTRE","Saúde","3624553858","45919049","Total das Despesas Exceto Intra-Orçamentárias","2020-10-01T01:38:38Z","##------ Mon Nov 16 19:13:46 2020 ------##"
